ticker,name,exchange,category name,country
MJLF.BK,Major Cineplex Lifestyle Leasehold Property Fund.,SET,,Thailand
CIG.BK,C.I. Group Public Company Limited,SET,,Thailand
CIG-R.BK,C.I. Group Public Company Limited,SET,,Thailand
CIMBT-R.BK,CIMB Thai Bank Public Company Limited,SET,,Thailand
CITY-R.BK,City Steel Public Company Limited,SET,,Thailand
CI-R.BK,Charn Issara Development Public Company Limited,SET,,Thailand
CI.BK,Charn Issara Development Public Company Limited,SET,,Thailand
CITY.BK,City Steel Public Company Limited,SET,,Thailand
CKP.BK,CK Power Public Company Limited,SET,,Thailand
CK.BK,CH. Karnchang Public Company Limited,SET,,Thailand
CK-R.BK,CH. Karnchang Public Company Limited,SET,,Thailand
CKP-R.BK,CK Power Public Company Limited,SET,,Thailand
CMO.BK,CMO Public Company Limited,SET,,Thailand
CM-R.BK,Chiangmai Frozen Foods Public Company Limited,SET,,Thailand
CM.BK,Chiangmai Frozen Foods Public Company Limited,SET,,Thailand
CMO-R.BK,CMO Public Company Limited,SET,,Thailand
CNT.BK,Christiani & Nielsen (Thai) Public Company Limited,SET,,Thailand
CNT-R.BK,Christiani & Nielsen (Thai) Public Company Limited,SET,,Thailand
CNS.BK,Capital Nomura Securities Public Company Limited,SET,,Thailand
CPALL-R.BK,CP ALL Public Company Limited,SET,,Thailand
CPL-R.BK,CPL Group Public Company Limited,SET,,Thailand
CPH.BK,Castle Peak Holdings Public Company Limited,SET,,Thailand
CPI.BK,Chumporn Palm Oil Industry Public Company Limited,SET,,Thailand
CPR-R.BK,CPR Gomu Industrial Public Company Limited,SET,,Thailand
CPN.BK,Central Pattana Public Company Limited,SET,,Thailand
CPALL.BK,CP ALL Public Company Limited,SET,,Thailand
CPF-R.BK,Charoen Pokphand Foods Public Company Limited,SET,,Thailand
CPN-R.BK,Central Pattana Public Company Limited,SET,,Thailand
CPL.BK,CPL Group Public Company Limited,SET,,Thailand
CPH-R.BK,Castle Peak Holdings Public Company Limited,SET,,Thailand
CRYSTAL.BK,Crystal Retail Growth Leasehold Property Fund,SET,,Thailand
CPI-R.BK,Chumporn Palm Oil Industry Public Company Limited,SET,,Thailand
CPF.BK,Charoen Pokphand Foods Public Company Limited,SET,,Thailand
CPR.BK,CPR Gomu Industrial Public Company Limited,SET,,Thailand
CPNCG.BK,CPN Commercial Growth Leasehold Property Fund,SET,,Thailand
CPNRF.BK,CPN Retail Growth Leasehold Property Fund,SET,,Thailand
